data:text/csv;charset=utf-8,
id_ibge,location,year,age,classes,enrolled,bra_id,num_schools,bra_1,bra_3,bra_5,bra_7,bra_9,enrolled_classes,bra_display,bra_rca,wld_rca,enrolled_growth,enrolled_growth_5
4216602,"São José",2007,12.755,1304,34914,"5sc000007",64,"5","5sc","5sc00","5sc0000","5sc000007",26.774539877300615,"5SC000007",false,false,,
4216602,"São José",2008,12.5272,1326,34144,"5sc000007",69,"5","5sc","5sc00","5sc0000","5sc000007",25.749622926093515,"5SC000007",false,false,-0.0220542,
4216602,"São José",2009,12.6147,1330,34904,"5sc000007",71,"5","5sc","5sc00","5sc0000","5sc000007",26.24360902255639,"5SC000007",false,false,0.0222587,
4216602,"São José",2010,12.7354,1366,35348,"5sc000007",72,"5","5sc","5sc00","5sc0000","5sc000007",25.87701317715959,"5SC000007",false,false,0.0127206,
4216602,"São José",2011,12.9134,1382,35153,"5sc000007",69,"5","5sc","5sc00","5sc0000","5sc000007",25.436324167872648,"5SC000007",false,false,-0.00551658,
4216602,"São José",2012,12.9976,1394,35647,"5sc000007",69,"5","5sc","5sc00","5sc0000","5sc000007",25.57173601147776,"5SC000007",false,false,0.0140529,0.00416407
4216602,"São José",2013,13.37,1384,35997,"5sc000007",72,"5","5sc","5sc00","5sc0000","5sc000007",26.009393063583815,"5SC000007",false,false,0.01,0.01
4216602,"São José",2014,13.1,1389,35354,"5sc000007",72,"5","5sc","5sc00","5sc0000","5sc000007",25.4528437724982,"5SC000007",false,false,-0.02,0
4216602,"São José",2015,12.3975,1335,33754,"5sc000007",73,"5","5sc","5sc00","5sc0000","5sc000007",25.283895131086144,"5SC000007",false,false,-0.0452565,-0.00918612
4217253,"São Pedro de Alcântara",2007,11.8003,31,626,"5sc000008",3,"5","5sc","5sc00","5sc0000","5sc000008",20.193548387096776,"5SC000008",false,false,,
4217253,"São Pedro de Alcântara",2008,12.1175,33,613,"5sc000008",3,"5","5sc","5sc00","5sc0000","5sc000008",18.575757575757574,"5SC000008",false,false,-0.0207668,
4217253,"São Pedro de Alcântara",2009,12.1301,32,615,"5sc000008",3,"5","5sc","5sc00","5sc0000","5sc000008",19.21875,"5SC000008",false,false,0.00326264,
4217253,"São Pedro de Alcântara",2010,12.2147,31,587,"5sc000008",3,"5","5sc","5sc00","5sc0000","5sc000008",18.93548387096774,"5SC000008",false,false,-0.0455285,
4217253,"São Pedro de Alcântara",2011,12.22,33,641,"5sc000008",3,"5","5sc","5sc00","5sc0000","5sc000008",19.424242424242426,"5SC000008",false,false,0.0919932,
4217253,"São Pedro de Alcântara",2012,12.3307,33,644,"5sc000008",3,"5","5sc","5sc00","5sc0000","5sc000008",19.515151515151516,"5SC000008",false,false,0.00468019,0.00568577
4217253,"São Pedro de Alcântara",2013,12.45,33,647,"5sc000008",3,"5","5sc","5sc00","5sc0000","5sc000008",19.606060606060606,"5SC000008",false,false,0,0.01
4217253,"São Pedro de Alcântara",2014,12.28,37,692,"5sc000008",3,"5","5sc","5sc00","5sc0000","5sc000008",18.7027027027027,"5SC000008",false,false,0.07,0.02
4217253,"São Pedro de Alcântara",2015,12.1411,41,666,"5sc000008",3,"5","5sc","5sc00","5sc0000","5sc000008",16.24390243902439,"5SC000008",false,false,-0.0375723,0.0255745
4200606,"Águas Mornas",2007,12.2172,58,1165,"5sc000100",15,"5","5sc","5sc00","5sc0001","5sc000100",20.086206896551722,"5SC000100",false,false,,
4200606,"Águas Mornas",2008,12.1793,58,1138,"5sc000100",14,"5","5sc","5sc00","5sc0001","5sc000100",19.620689655172413,"5SC000100",false,false,-0.023176,
4200606,"Águas Mornas",2009,12.2159,63,1107,"5sc000100",10,"5","5sc","5sc00","5sc0001","5sc000100",17.571428571428573,"5SC000100",false,false,-0.0272408,
4200606,"Águas Mornas",2010,12.2871,50,1052,"5sc000100",6,"5","5sc","5sc00","5sc0001","5sc000100",21.04,"5SC000100",false,false,-0.0496838,
4200606,"Águas Mornas",2011,12.2341,50,1021,"5sc000100",6,"5","5sc","5sc00","5sc0001","5sc000100",20.42,"5SC000100",false,false,-0.0294677,
4200606,"Águas Mornas",2012,12.1319,49,978,"5sc000100",6,"5","5sc","5sc00","5sc0001","5sc000100",19.959183673469386,"5SC000100",false,false,-0.0421156,-0.0343882
