data:text/csv;charset=utf-8,
id_ibge,location,year,wage,num_jobs,wage_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,bra_id,cnae_id,rca,distance,opp_gain,cnae_1,cnae_3,cnae_6,cbo_diversity,cbo_diversity_eff,num_est,num_jobs_est,cnae_display,bra_rca,wld_rca
4209102,"Joinville",2023,53441.46,26,2055.44,0.025,0.107,-0.188,0.025,"5sc010107","c10929",0.087,0.749,0.25,"c","c10","c10929",235,22.293,0,0,"10929",false,false
4209102,"Joinville",2023,128260.69,43,2982.81,0.21,0.147,0,0.036,"5sc010107","c10937",0.191,0.763,0.102,"c","c10","c10937",261,17.846,0,0,"10937",false,false
4209102,"Joinville",2023,255761.51,81,3157.55,0.353,0.1,0.191,0.042,"5sc010107","c10945",0.546,0.746,0.053,"c","c10","c10945",234,25.254,0,0,"10945",false,false
4209102,"Joinville",2023,10089.7,6,1681.62,0.242,-0.004,0.2,-0.03,"5sc010107","c10953",0.047,0.752,0.063,"c","c10","c10953",227,27.663,0,0,"10953",false,false
4209102,"Joinville",2023,365921.15,159,2301.39,0.847,0.152,0.963,0.106,"5sc010107","c10961",2.256,0.732,-0.014,"c","c10","c10961",200,22.721,0,0,"10961",true,false
4209102,"Joinville",2023,123885.48,40,3097.14,-0.475,-0.127,-0.545,-0.134,"5sc010107","c10996",0.073,0.76,0.128,"c","c10","c10996",390,39.63,0,0,"10996",false,false
4209102,"Joinville",2023,433501.91,185,2343.25,0.116,0.146,0.088,0.089,"5sc010107","c11119",2.677,0.757,0.251,"c","c11","c11119",225,47.045,0,0,"11119",true,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c11127",0,0.764,0.131,"c","c11","c11127",179,39.237,0,0,"11127",false,false
4209102,"Joinville",2023,103004.17,39,2641.13,-0.1,0.353,-0.025,0.288,"5sc010107","c11135",0.089,0.767,0.122,"c","c11","c11135",233,39.89,0,0,"11135",false,false
4209102,"Joinville",2023,33148.77,17,1949.93,-0.089,-0.21,-0.15,-0.209,"5sc010107","c11216",0.131,0.746,0.199,"c","c11","c11216",237,25.425,0,0,"11216",false,false
4209102,"Joinville",2023,2019.19,1,2019.19,0,0,0,0,"5sc010107","c11224",0.002,0.756,-0.019,"c","c11","c11224",256,32.594,0,0,"11224",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c12107",0,0.769,0.155,"c","c12","c12107",142,20.229,0,0,"12107",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c12204",0,0.767,0.142,"c","c12","c12204",154,26.825,0,0,"12204",false,false
4209102,"Joinville",2023,3785.04,1,3785.04,0.058,-0.697,0,-0.715,"5sc010107","c13111",0.014,0.748,0.053,"c","c13","c13111",203,22.843,0,0,"13111",false,false
4209102,"Joinville",2023,105642.5,31,3407.82,0.013,0.994,-0.061,0.987,"5sc010107","c13120",2.261,0.744,0.069,"c","c13","c13120",157,28.387,0,0,"13120",true,false
4209102,"Joinville",2023,749740.21,177,4235.82,0.048,0.001,0.142,-0.03,"5sc010107","c13138",5.269,0.737,-0.205,"c","c13","c13138",169,31.556,0,0,"13138",true,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c13146",0,0.736,-0.214,"c","c13","c13146",139,22.146,0,0,"13146",false,false
4209102,"Joinville",2023,10938340.82,2933,3729.4,0.062,1.577,0.125,1.439,"5sc010107","c13219",26.219,0.737,0.035,"c","c13","c13219",238,30.767,0,0,"13219",true,false
4209102,"Joinville",2023,14367.56,5,2873.51,0.037,0,-0.167,0,"5sc010107","c13227",1.015,0.728,-0.141,"c","c13","c13227",96,27.551,0,0,"13227",true,false
4209102,"Joinville",2023,205883.17,54,3812.65,0.027,0.08,-0.1,-0.004,"5sc010107","c13235",0.828,0.729,-0.166,"c","c13","c13235",189,28.329,0,0,"13235",false,false
4209102,"Joinville",2023,3578665.24,1029,3477.81,0.092,0.091,0.023,0.025,"5sc010107","c13308",9.568,0.723,-0.146,"c","c13","c13308",229,30.076,0,0,"13308",true,false
4209102,"Joinville",2023,212697.2,79,2692.37,-0.085,-0.021,-0.102,-0.066,"5sc010107","c13405",0.437,0.725,0.068,"c","c13","c13405",282,39.537,0,0,"13405",false,false
4209102,"Joinville",2023,1332755.64,455,2929.13,-0.139,-0.322,-0.101,-0.314,"5sc010107","c13511",3.025,0.713,0.157,"c","c13","c13511",270,33.89,0,0,"13511",true,false
4209102,"Joinville",2023,2300,2,1150,0,0,1,0,"5sc010107","c13529",0.023,0.724,0.052,"c","c13","c13529",205,40.353,0,0,"13529",false,false
4209102,"Joinville",2023,459662.55,148,3105.83,0.214,0.184,0.451,0.143,"5sc010107","c13537",8.714,0.72,-0.052,"c","c13","c13537",144,25.728,0,0,"13537",true,false
4209102,"Joinville",2023,36135.76,21,1720.75,0.606,-0.067,-0.16,-0.034,"5sc010107","c13545",0.127,0.725,-0.137,"c","c13","c13545",266,40.217,0,0,"13545",false,false
